occupation,gender,category,income,area_type,disability,scheme_name,official_link,req,min_age,max_age,mode_of_application,Description,Required_Documents
Employee,Male,ST,21542,Urban,Yes,Tamil Nadu New Entrepreneur cum Enterprise Development Scheme,https://msmeonline.tn.gov.in/needs/needs_desc.php,,21,35,Online msmeonline.tn.gov.in/needs,"Loans/subsidy for new MSMEs (21-35 gen, up to 45 special).","Age proof, Qualification cert, Nativity cert, Project report, Aadhar, Bank passbook [web:16]"
Employee,Female,SC,33643,Urban,Yes,Tamil Nadu Anbu Karangal Scheme,https://drive.google.com/file/d/1Xpq_iFjVTQE2dGwb5MavheXo46qZa4-0/view?usp=sharing,,0,18,Child welfare dept,Support for orphans/abandoned children.,"Child details, Aadhar, Orphanage cert"
Farmer,Male,OBC,41588,Rural,No,Tamil Nadu Makkaludan Mudhalvar Scheme,https://cmhelpline.tnega.org/portal/en/home,,18,18,cmhelpline.tnega.org,Public grievance redressal helpline.,"Aadhar, Grievance details"
Employee,Other,ST,49218,Urban,No,Tamil Nadu Anbu Karangal Scheme,https://drive.google.com/file/d/1Xpq_iFjVTQE2dGwb5MavheXo46qZa4-0/view?usp=sharing,,0,18,Child welfare dept,Support for orphans/abandoned children.,"Child details, Aadhar, Orphanage cert"
Self-employed,Female,ST,25073,Rural,No,Dr. Muthulakshmi Reddy Ninaivu Inter Caste Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,21,Social Welfare Dept,"Rs.25,000 for inter-caste couples.","Different caste certs, Age proof, Marriage proof [web:14]"
Employee,Male,ST,6584,Urban,Yes,Dr. Dharmambal Ammaiyar Ninaivu Widow Remarriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,45,Social Welfare Dept,"Rs.25,000 for widow remarriage.","Widow cert, Age proof (18+ bride, 21+ groom), No income limit [web:14]"
Farmer,Male,General,11356,Urban,Yes,Tamil Nadu Amma Baby Care Kit Scheme,https://picme3.tn.gov.in/api/react2/,,0,6,Online picme3.tn.gov.in,Kit for newborns (0-6 months).,"Birth cert, Aadhar of mother/infant"
Employee,Male,General,42692,Urban,Yes,Annai Therasa Ninaivu Marriage Assistance Scheme for Orphan Girls,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,30,Social Welfare Dept portal/office,"Rs.30,000 marriage aid for orphan brides.","Orphan cert, Age proof (18+ bride), Community cert, Marriage invitation, Family card, Aadhar [web:14]"
Homemaker,Female,General,36818,Urban,No,Tamil Nadu Tamizh Pudhalvan Scheme,https://umis.tn.gov.in/auth/login,,12,21,umis.tn.gov.in,Rs.1k/month for boys from govt schools post-12th.,"School marksheets 6-12, UG enrollment, Aadhar [web:19]"
Farmer,Male,ST,35514,Urban,No,Tamil Nadu Naan Mudhalvan UPSC Mains Scholarship Programme,https://portal.naanmudhalvan.tn.gov.in/upsc_registration,,21,32,Online naanmudhalvan.tn.gov.in,Scholarship/coaching for UPSC aspirants (21-32 gen).,"Degree cert, TN domicile, Age proof, Prelims score"
Farmer,Female,ST,47052,Urban,Yes,Tamil Nadu Kalaignarin Kanavu Illam Scheme,ttps://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/public_page_table_content_details_view.php?tabular_content_id=MjY5&page_id=Ng%3D%3D,,25,90,tnrd.tn.gov.in (rural dev),Rs.1.1L aid for hut-to-house conversion.,"Aadhar, Ration card, Patta/land docs, Hut dweller cert [web:21]"
Homemaker,Male,SC,16336,Rural,No,Tamil Nadu Chief Minister Thayumanavar Scheme,https://play.google.com/store/apps/details?id=org.tncdw.cmts&hl=en_IN,,65,100,tncdw app/Google Play,Aid for differently abled persons.,"Aadhar, Disability cert, Income proof"
Employee,Female,OBC,38754,Urban,Yes,Tamil Nadu New Entrepreneur cum Enterprise Development Scheme,https://msmeonline.tn.gov.in/needs/needs_desc.php,,21,35,Online msmeonline.tn.gov.in/needs,"Loans/subsidy for new MSMEs (21-35 gen, up to 45 special).","Age proof, Qualification cert, Nativity cert, Project report, Aadhar, Bank passbook [web:16]"
Student,Male,General,23871,Rural,Yes,Tamil Nadu Amma Baby Care Kit Scheme,https://picme3.tn.gov.in/api/react2/,,0,6,Online picme3.tn.gov.in,Kit for newborns (0-6 months).,"Birth cert, Aadhar of mother/infant"
Farmer,Male,OBC,5642,Rural,Yes,Tamil Nadu Tamizh Pudhalvan Scheme,https://umis.tn.gov.in/auth/login,,12,21,umis.tn.gov.in,Rs.1k/month for boys from govt schools post-12th.,"School marksheets 6-12, UG enrollment, Aadhar [web:19]"
Student,Other,SC,6401,Urban,No,Tamil Nadu Ulagam Ungal Kaiyil Scheme,https://schemes.vikaspedia.in/viewcontent/schemesall/state-specific-schemes/welfare-schemes-of-tamil-nadu/ulagam-ungal-kaiyil-scheme?lgn=en,,18,21,Online via vikaspedia/schemes portal,Laptop distribution for students/families.,"Aadhar, Ration card, Income proof, Bank details"
Self-employed,Other,ST,45388,Urban,No,Tamil Nadu Unemployed Youth Employment Generation Programme,https://msmeonline.tn.gov.in/uyegp/,,18,35,Online msmeonline.tn.gov.in/uyegp,Aid for unemployed youth enterprises.,"Age proof, Qualification, Project report, Aadhar"
Student,Male,SC,49161,Urban,No,Tamil Nadu Anbu Karangal Scheme,https://drive.google.com/file/d/1Xpq_iFjVTQE2dGwb5MavheXo46qZa4-0/view?usp=sharing,,0,18,Child welfare dept,Support for orphans/abandoned children.,"Child details, Aadhar, Orphanage cert"
Self-employed,Female,General,43434,Rural,No,Tamil Nadu Chief Minister Breakfast Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationsnutritious-meal-programme/chief-ministers-breakfast-scheme,,6,12,Automatic through govt schools,Free nutritious breakfast for primary students.,"School enrollment, Aadhar"
Employee,Male,OBC,5013,Rural,No,Tamil Nadu Dr Muthulakshmi Reddy Maternity Benefit Scheme,https://picme3.tn.gov.in/api/react2/,,19,45,picme3.tn.gov.in,Rs.18k maternity aid for poor women.,"Pregnancy cert (1st-3rd trimester), Aadhar, Bank details"
Farmer,Male,ST,42889,Urban,No,Annai Therasa Ninaivu Marriage Assistance Scheme for Orphan Girls,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,30,Social Welfare Dept portal/office,"Rs.30,000 marriage aid for orphan brides.","Orphan cert, Age proof (18+ bride), Community cert, Marriage invitation, Family card, Aadhar [web:14]"
Student,Male,General,7459,Rural,No,Tamil Nadu Kalaignarin Kanavu Illam Scheme,ttps://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/public_page_table_content_details_view.php?tabular_content_id=MjY5&page_id=Ng%3D%3D,,25,90,tnrd.tn.gov.in (rural dev),Rs.1.1L aid for hut-to-house conversion.,"Aadhar, Ration card, Patta/land docs, Hut dweller cert [web:21]"
Unemployed,Female,SC,43277,Urban,No,Tamil Nadu Ulagam Ungal Kaiyil Scheme,https://schemes.vikaspedia.in/viewcontent/schemesall/state-specific-schemes/welfare-schemes-of-tamil-nadu/ulagam-ungal-kaiyil-scheme?lgn=en,,18,21,Online via vikaspedia/schemes portal,Laptop distribution for students/families.,"Aadhar, Ration card, Income proof, Bank details"
Farmer,Other,SC,41889,Urban,No,Tamil Nadu Dr Muthulakshmi Reddy Maternity Benefit Scheme,https://picme3.tn.gov.in/api/react2/,,19,45,picme3.tn.gov.in,Rs.18k maternity aid for poor women.,"Pregnancy cert (1st-3rd trimester), Aadhar, Bank details"
Unemployed,Male,General,7932,Rural,Yes,Annai Therasa Ninaivu Marriage Assistance Scheme for Orphan Girls,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,30,Social Welfare Dept portal/office,"Rs.30,000 marriage aid for orphan brides.","Orphan cert, Age proof (18+ bride), Community cert, Marriage invitation, Family card, Aadhar [web:14]"
Student,Female,General,30069,Rural,No,Tamil Nadu Dr Muthulakshmi Reddy Maternity Benefit Scheme,https://picme3.tn.gov.in/api/react2/,,19,45,picme3.tn.gov.in,Rs.18k maternity aid for poor women.,"Pregnancy cert (1st-3rd trimester), Aadhar, Bank details"
Student,Other,General,42228,Urban,Yes,Tamil Nadu Ulagam Ungal Kaiyil Scheme,https://schemes.vikaspedia.in/viewcontent/schemesall/state-specific-schemes/welfare-schemes-of-tamil-nadu/ulagam-ungal-kaiyil-scheme?lgn=en,,18,21,Online via vikaspedia/schemes portal,Laptop distribution for students/families.,"Aadhar, Ration card, Income proof, Bank details"
Homemaker,Other,ST,33109,Rural,No,Tamil Nadu Vidiyal Payanam Thittam,https://www.tnsocialwelfare.tn.gov.in/en,,5,19,School/tnsocialwelfare.tn.gov.in,Free bus pass for students.,"Aadhar, Student cert, Income proof"
Employee,Female,General,33137,Rural,Yes,Chief Minister Comprehensive Health Insurance Scheme,https://www.cmchistn.com/,,25,100,Online cmchistn.com,Up to Rs.5L health insurance/family.,"Aadhar, Ration/family card"
Self-employed,Female,SC,17919,Urban,Yes,Tamil Nadu New Entrepreneur cum Enterprise Development Scheme,https://msmeonline.tn.gov.in/needs/needs_desc.php,,21,35,Online msmeonline.tn.gov.in/needs,"Loans/subsidy for new MSMEs (21-35 gen, up to 45 special).","Age proof, Qualification cert, Nativity cert, Project report, Aadhar, Bank passbook [web:16]"
Student,Other,SC,38320,Urban,No,Tamil Nadu New Entrepreneur cum Enterprise Development Scheme,https://msmeonline.tn.gov.in/needs/needs_desc.php,,21,35,Online msmeonline.tn.gov.in/needs,"Loans/subsidy for new MSMEs (21-35 gen, up to 45 special).","Age proof, Qualification cert, Nativity cert, Project report, Aadhar, Bank passbook [web:16]"
Student,Female,OBC,19338,Urban,Yes,Tamil Nadu Dr Muthulakshmi Reddy Maternity Benefit Scheme,https://picme3.tn.gov.in/api/react2/,,19,45,picme3.tn.gov.in,Rs.18k maternity aid for poor women.,"Pregnancy cert (1st-3rd trimester), Aadhar, Bank details"
Employee,Female,General,42641,Rural,No,Tamil Nadu Tamizh Pudhalvan Scheme,https://umis.tn.gov.in/auth/login,,12,21,umis.tn.gov.in,Rs.1k/month for boys from govt schools post-12th.,"School marksheets 6-12, UG enrollment, Aadhar [web:19]"
Homemaker,Other,General,34632,Rural,No,Tamil Nadu Unemployed Youth Employment Generation Programme,https://msmeonline.tn.gov.in/uyegp/,,18,35,Online msmeonline.tn.gov.in/uyegp,Aid for unemployed youth enterprises.,"Age proof, Qualification, Project report, Aadhar"
Farmer,Male,General,7074,Rural,Yes,Tamil Nadu Amma Baby Care Kit Scheme,https://picme3.tn.gov.in/api/react2/,,0,6,Online picme3.tn.gov.in,Kit for newborns (0-6 months).,"Birth cert, Aadhar of mother/infant"
Unemployed,Other,OBC,47037,Urban,No,Tamil Nadu Amma Baby Care Kit Scheme,https://picme3.tn.gov.in/api/react2/,,0,6,Online picme3.tn.gov.in,Kit for newborns (0-6 months).,"Birth cert, Aadhar of mother/infant"
Farmer,Male,OBC,5653,Urban,No,Tamil Nadu Chief Minister Fellowship Programme,https://bim.edu/index/tncmfp/,,22,30,Online bim.eduin/tncmfp,"Rs.65k/month fellowship for young professionals (22-30, relaxations).","Degree certs, TN domicile, Age proof, Resume"
Student,Female,ST,25489,Urban,No,Tamil Nadu Ulagam Ungal Kaiyil Scheme,https://schemes.vikaspedia.in/viewcontent/schemesall/state-specific-schemes/welfare-schemes-of-tamil-nadu/ulagam-ungal-kaiyil-scheme?lgn=en,,18,21,Online via vikaspedia/schemes portal,Laptop distribution for students/families.,"Aadhar, Ration card, Income proof, Bank details"
Student,Female,ST,23373,Urban,Yes,Tamil Nadu Dr Muthulakshmi Reddy Maternity Benefit Scheme,https://picme3.tn.gov.in/api/react2/,,19,45,picme3.tn.gov.in,Rs.18k maternity aid for poor women.,"Pregnancy cert (1st-3rd trimester), Aadhar, Bank details"
Student,Female,General,13464,Urban,No,Tamil Nadu Dr Muthulakshmi Reddy Maternity Benefit Scheme,https://picme3.tn.gov.in/api/react2/,,19,45,picme3.tn.gov.in,Rs.18k maternity aid for poor women.,"Pregnancy cert (1st-3rd trimester), Aadhar, Bank details"
Unemployed,Female,OBC,18919,Urban,No,Tamil Nadu Mudhalvarin Kakkum Karangal Scheme,https://www.exwel.tn.gov.in/,,18,55,Online exwel.tn.gov.in,Enterprise aid for ex-servicemen & dependents.,"Nativity cert, Aadhar, Age proof, Ex-servicemen card/discharge book, Project report, Land docs, Bank details [web:15]"
Unemployed,Male,SC,45136,Urban,Yes,Tamil Nadu Kalaignar Magalir Urimai Thittam Scheme,https://kmut.tn.gov.in/,,21,100,Online kmut.tn.gov.in,"Rs.1,000/month to working-age women heads.","Aadhar, Ration card, Income cert, Bank details"
Farmer,Other,ST,21579,Rural,Yes,Tamil Nadu Anbu Karangal Scheme,https://drive.google.com/file/d/1Xpq_iFjVTQE2dGwb5MavheXo46qZa4-0/view?usp=sharing,,0,18,Child welfare dept,Support for orphans/abandoned children.,"Child details, Aadhar, Orphanage cert"
Farmer,Female,ST,39591,Rural,No,Tamil Nadu Kalaignar Magalir Urimai Thittam Scheme,https://kmut.tn.gov.in/,,21,100,Online kmut.tn.gov.in,"Rs.1,000/month to working-age women heads.","Aadhar, Ration card, Income cert, Bank details"
Student,Male,OBC,44820,Urban,Yes,Amma Two Wheeler Scheme for Working Women,https://krishnagiri.nic.in/scheme/amma-two-wheeler-scheme/,,18,40,District collectorate portal,50% subsidy on scooters for working women.,"Aadhar, 8th std cert, Income proof (<=2.5L), DL/learner permit [web:22]"
Student,Male,OBC,32767,Urban,Yes,Tamil Nadu Unemployed Youth Employment Generation Programme,https://msmeonline.tn.gov.in/uyegp/,,18,35,Online msmeonline.tn.gov.in/uyegp,Aid for unemployed youth enterprises.,"Age proof, Qualification, Project report, Aadhar"
Self-employed,Other,ST,17558,Urban,No,Dr. Dharmambal Ammaiyar Ninaivu Widow Remarriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,45,Social Welfare Dept,"Rs.25,000 for widow remarriage.","Widow cert, Age proof (18+ bride, 21+ groom), No income limit [web:14]"
Student,Other,SC,6953,Urban,No,Tamil Nadu Mudhalvarin Kakkum Karangal Scheme,https://www.exwel.tn.gov.in/,,18,55,Online exwel.tn.gov.in,Enterprise aid for ex-servicemen & dependents.,"Nativity cert, Aadhar, Age proof, Ex-servicemen card/discharge book, Project report, Land docs, Bank details [web:15]"
Employee,Male,General,39071,Rural,Yes,Tamil Nadu Chief Minister's Solar Rooftop Capital Incentive Scheme,https://www.tnebltd.gov.in/usrp/,,18,,tnebltd.gov.in/usrp,Subsidy for solar rooftop installation.,"Electricity bill, Aadhar, Land proof"
Farmer,Other,ST,28448,Urban,No,Chief Minister Comprehensive Health Insurance Scheme,https://www.cmchistn.com/,,25,100,Online cmchistn.com,Up to Rs.5L health insurance/family.,"Aadhar, Ration/family card"
Farmer,Female,General,10055,Urban,No,Tamil Nadu Chief Minister's Solar Rooftop Capital Incentive Scheme,https://www.tnebltd.gov.in/usrp/,,18,75,tnebltd.gov.in/usrp,Subsidy for solar rooftop installation.,"Electricity bill, Aadhar, Land proof"
Self-employed,Female,ST,18259,Urban,No,Tamil Nadu Chief Minister Fellowship Programme,https://bim.edu/index/tncmfp/,,22,30,Online bim.eduin/tncmfp,"Rs.65k/month fellowship for young professionals (22-30, relaxations).","Degree certs, TN domicile, Age proof, Resume"
Student,Male,General,15780,Rural,No,Chief Minister Comprehensive Health Insurance Scheme,https://www.cmchistn.com/,,25,100,Online cmchistn.com,Up to Rs.5L health insurance/family.,"Aadhar, Ration/family card"
Unemployed,Other,OBC,14645,Urban,No,Tamil Nadu Tamizh Pudhalvan Scheme,https://umis.tn.gov.in/auth/login,,12,21,umis.tn.gov.in,Rs.1k/month for boys from govt schools post-12th.,"School marksheets 6-12, UG enrollment, Aadhar [web:19]"
Self-employed,Other,General,32334,Urban,No,Moovalur Ramamirtham Ammaiyar Ninaivu Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/pudhumai-penn,,18,40,Online/Offline at Social Welfare Dept (tnsocialwelfare.tn.gov.in),"Rs.50,000 marriage aid for poor brides post-10th std.","Age proof (18+ bride, 21+ groom), Income cert (<=72k), Community cert, Nativity cert, Bride 10th cert, Marriage invitation, Family card, Aadhar [web:14]"
Farmer,Male,SC,48064,Urban,Yes,Moovalur Ramamirtham Ammaiyar Ninaivu Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/pudhumai-penn,,18,40,Online/Offline at Social Welfare Dept (tnsocialwelfare.tn.gov.in),"Rs.50,000 marriage aid for poor brides post-10th std.","Age proof (18+ bride, 21+ groom), Income cert (<=72k), Community cert, Nativity cert, Bride 10th cert, Marriage invitation, Family card, Aadhar [web:14]"
Self-employed,Other,General,25391,Rural,No,Dr. Muthulakshmi Reddy Ninaivu Inter Caste Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,21,Social Welfare Dept,"Rs.25,000 for inter-caste couples.","Different caste certs, Age proof, Marriage proof [web:14]"
Farmer,Other,SC,47182,Urban,No,E.V.R Maniammaiyar Ninaivu Marriage Assistance Scheme For Daughters Of Poor Widows,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,25,Social Welfare Dept,"Rs.25,000 marriage aid for poor widows' daughters.","Widow cert, Age proof, Income cert, Community cert, Marriage invitation, Aadhar [web:14]"
Employee,Male,OBC,48018,Urban,Yes,Tamil Nadu New Entrepreneur cum Enterprise Development Scheme,https://msmeonline.tn.gov.in/needs/needs_desc.php,,21,35,Online msmeonline.tn.gov.in/needs,"Loans/subsidy for new MSMEs (21-35 gen, up to 45 special).","Age proof, Qualification cert, Nativity cert, Project report, Aadhar, Bank passbook [web:16]"
Student,Female,SC,44880,Urban,No,Tamil Nadu Kalaignarin Kanavu Illam Scheme,ttps://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/public_page_table_content_details_view.php?tabular_content_id=MjY5&page_id=Ng%3D%3D,,25,90,tnrd.tn.gov.in (rural dev),Rs.1.1L aid for hut-to-house conversion.,"Aadhar, Ration card, Patta/land docs, Hut dweller cert [web:21]"
Homemaker,Male,ST,15412,Urban,No,Amma Two Wheeler Scheme for Working Women,https://krishnagiri.nic.in/scheme/amma-two-wheeler-scheme/,,18,40,District collectorate portal,50% subsidy on scooters for working women.,"Aadhar, 8th std cert, Income proof (<=2.5L), DL/learner permit [web:22]"
Self-employed,Male,ST,48260,Rural,Yes,Tamil Nadu Chief Minister Fellowship Programme,https://bim.edu/index/tncmfp/,,22,30,Online bim.eduin/tncmfp,"Rs.65k/month fellowship for young professionals (22-30, relaxations).","Degree certs, TN domicile, Age proof, Resume"
Unemployed,Female,ST,44240,Urban,Yes,Tamil Nadu Ulagam Ungal Kaiyil Scheme,https://schemes.vikaspedia.in/viewcontent/schemesall/state-specific-schemes/welfare-schemes-of-tamil-nadu/ulagam-ungal-kaiyil-scheme?lgn=en,,18,21,Online via vikaspedia/schemes portal,Laptop distribution for students/families.,"Aadhar, Ration card, Income proof, Bank details"
Unemployed,Other,SC,37030,Urban,Yes,Tamil Nadu Dr Muthulakshmi Reddy Maternity Benefit Scheme,https://picme3.tn.gov.in/api/react2/,,19,45,picme3.tn.gov.in,Rs.18k maternity aid for poor women.,"Pregnancy cert (1st-3rd trimester), Aadhar, Bank details"
Student,Male,SC,30450,Urban,Yes,Tamil Nadu Unemployment Assistance Scheme,https://tnvelaivaaippu.gov.in/index.html#,,18,35,Online at tnvelaivaaippu.gov.in,Cash aid for educated unemployed youth.,"Aadhar/Voter ID, Domicile TN, Caste cert, Affidavit, Qualification docs [web:17]"
Farmer,Female,ST,18180,Urban,No,E.V.R Maniammaiyar Ninaivu Marriage Assistance Scheme For Daughters Of Poor Widows,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,25,Social Welfare Dept,"Rs.25,000 marriage aid for poor widows' daughters.","Widow cert, Age proof, Income cert, Community cert, Marriage invitation, Aadhar [web:14]"
Homemaker,Other,ST,14502,Rural,No,Tamil Nadu Naan Mudhalvan UPSC Mains Scholarship Programme,https://portal.naanmudhalvan.tn.gov.in/upsc_registration,,21,32,Online naanmudhalvan.tn.gov.in,Scholarship/coaching for UPSC aspirants (21-32 gen).,"Degree cert, TN domicile, Age proof, Prelims score"
Employee,Other,SC,28451,Urban,No,Annai Therasa Ninaivu Marriage Assistance Scheme for Orphan Girls,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,30,Social Welfare Dept portal/office,"Rs.30,000 marriage aid for orphan brides.","Orphan cert, Age proof (18+ bride), Community cert, Marriage invitation, Family card, Aadhar [web:14]"
Farmer,Female,ST,6956,Urban,Yes,Tamil Nadu New Entrepreneur cum Enterprise Development Scheme,https://msmeonline.tn.gov.in/needs/needs_desc.php,,21,35,Online msmeonline.tn.gov.in/needs,"Loans/subsidy for new MSMEs (21-35 gen, up to 45 special).","Age proof, Qualification cert, Nativity cert, Project report, Aadhar, Bank passbook [web:16]"
Self-employed,Male,General,15682,Urban,No,Tamil Nadu Chief Minister Fellowship Programme,https://bim.edu/index/tncmfp/,,22,30,Online bim.eduin/tncmfp,"Rs.65k/month fellowship for young professionals (22-30, relaxations).","Degree certs, TN domicile, Age proof, Resume"
Unemployed,Male,OBC,13465,Rural,Yes,Tamil Nadu Kalaignarin Kanavu Illam Scheme,ttps://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/public_page_table_content_details_view.php?tabular_content_id=MjY5&page_id=Ng%3D%3D,,25,90,tnrd.tn.gov.in (rural dev),Rs.1.1L aid for hut-to-house conversion.,"Aadhar, Ration card, Patta/land docs, Hut dweller cert [web:21]"
Employee,Male,OBC,30429,Rural,Yes,Tamil Nadu Amma Baby Care Kit Scheme,https://picme3.tn.gov.in/api/react2/,,0,6,Online picme3.tn.gov.in,Kit for newborns (0-6 months).,"Birth cert, Aadhar of mother/infant"
Farmer,Other,General,44088,Urban,No,Tamil Nadu Pudhumai Penn Scheme,https://tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/pudhumai-penn,,12,18,tnsocialwelfare.tn.gov.in,Rs.1k/month for govt school girls 6th-12th.,"10th/12th marksheet, TC, Aadhar, Bank passbook"
Self-employed,Other,OBC,24989,Rural,Yes,Tamil Nadu Chief Minister Fellowship Programme,https://bim.edu/index/tncmfp/,,22,30,Online bim.eduin/tncmfp,"Rs.65k/month fellowship for young professionals (22-30, relaxations).","Degree certs, TN domicile, Age proof, Resume"
Self-employed,Male,SC,46952,Rural,Yes,Tamil Nadu Chief Minister Breakfast Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationsnutritious-meal-programme/chief-ministers-breakfast-scheme,,6,12,Automatic through govt schools,Free nutritious breakfast for primary students.,"School enrollment, Aadhar"
Homemaker,Female,SC,25531,Urban,No,Tamil Nadu Kalaignarin Kanavu Illam Scheme,ttps://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/public_page_table_content_details_view.php?tabular_content_id=MjY5&page_id=Ng%3D%3D,,25,90,tnrd.tn.gov.in (rural dev),Rs.1.1L aid for hut-to-house conversion.,"Aadhar, Ration card, Patta/land docs, Hut dweller cert [web:21]"
Employee,Female,General,24297,Urban,Yes,Tamil Nadu Chief Minister's Solar Rooftop Capital Incentive Scheme,https://www.tnebltd.gov.in/usrp/,,18,75,tnebltd.gov.in/usrp,Subsidy for solar rooftop installation.,"Electricity bill, Aadhar, Land proof"
Unemployed,Female,ST,10860,Urban,No,Tamil Nadu Free Laptop Scheme,https://elcotlaptop.tn.gov.in/about,,15,21,elcotlaptop.tn.gov.in,Free laptops for higher secondary toppers.,"12th marksheet (+60%), Aadhar, Student ID"
Unemployed,Male,ST,30525,Urban,No,Tamil Nadu Ulagam Ungal Kaiyil Scheme,https://schemes.vikaspedia.in/viewcontent/schemesall/state-specific-schemes/welfare-schemes-of-tamil-nadu/ulagam-ungal-kaiyil-scheme?lgn=en,,18,21,Online via vikaspedia/schemes portal,Laptop distribution for students/families.,"Aadhar, Ration card, Income proof, Bank details"
Unemployed,Female,General,11899,Urban,Yes,Tamil Nadu Unemployment Assistance Scheme,https://tnvelaivaaippu.gov.in/index.html#,,18,35,Online at tnvelaivaaippu.gov.in,Cash aid for educated unemployed youth.,"Aadhar/Voter ID, Domicile TN, Caste cert, Affidavit, Qualification docs [web:17]"
Student,Female,General,10088,Urban,No,Moovalur Ramamirtham Ammaiyar Ninaivu Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/pudhumai-penn,,18,40,Online/Offline at Social Welfare Dept (tnsocialwelfare.tn.gov.in),"Rs.50,000 marriage aid for poor brides post-10th std.","Age proof (18+ bride, 21+ groom), Income cert (<=72k), Community cert, Nativity cert, Bride 10th cert, Marriage invitation, Family card, Aadhar [web:14]"
Employee,Other,ST,45380,Rural,Yes,Tamil Nadu Chief Minister Thayumanavar Scheme,https://play.google.com/store/apps/details?id=org.tncdw.cmts&hl=en_IN,,65,100,tncdw app/Google Play,Aid for differently abled persons.,"Aadhar, Disability cert, Income proof"
Farmer,Male,ST,16333,Rural,Yes,Tamil Nadu Mudhalvarin Kakkum Karangal Scheme,https://www.exwel.tn.gov.in/,,18,55,Online exwel.tn.gov.in,Enterprise aid for ex-servicemen & dependents.,"Nativity cert, Aadhar, Age proof, Ex-servicemen card/discharge book, Project report, Land docs, Bank details [web:15]"
Self-employed,Male,General,36963,Urban,Yes,Tamil Nadu Chief Minister's Solar Rooftop Capital Incentive Scheme,https://www.tnebltd.gov.in/usrp/,,18,75,tnebltd.gov.in/usrp,Subsidy for solar rooftop installation.,"Electricity bill, Aadhar, Land proof"
Self-employed,Male,General,12931,Rural,No,Dr. Dharmambal Ammaiyar Ninaivu Widow Remarriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,45,Social Welfare Dept,"Rs.25,000 for widow remarriage.","Widow cert, Age proof (18+ bride, 21+ groom), No income limit [web:14]"
Student,Male,ST,45112,Rural,No,Tamil Nadu Anbu Karangal Scheme,https://drive.google.com/file/d/1Xpq_iFjVTQE2dGwb5MavheXo46qZa4-0/view?usp=sharing,,0,18,Child welfare dept,Support for orphans/abandoned children.,"Child details, Aadhar, Orphanage cert"
Farmer,Other,OBC,21293,Rural,Yes,Tamil Nadu Tamizh Pudhalvan Scheme,https://umis.tn.gov.in/auth/login,,12,21,umis.tn.gov.in,Rs.1k/month for boys from govt schools post-12th.,"School marksheets 6-12, UG enrollment, Aadhar [web:19]"
Farmer,Female,SC,35221,Urban,Yes,Tamil Nadu Makkaludan Mudhalvar Scheme,https://cmhelpline.tnega.org/portal/en/home,,18,18,cmhelpline.tnega.org,Public grievance redressal helpline.,"Aadhar, Grievance details"
Self-employed,Female,ST,43994,Urban,No,Tamil Nadu Kalaignar Magalir Urimai Thittam Scheme,https://kmut.tn.gov.in/,,21,100,Online kmut.tn.gov.in,"Rs.1,000/month to working-age women heads.","Aadhar, Ration card, Income cert, Bank details"
Employee,Other,ST,25337,Urban,No,Amma Two Wheeler Scheme for Working Women,https://krishnagiri.nic.in/scheme/amma-two-wheeler-scheme/,,18,40,District collectorate portal,50% subsidy on scooters for working women.,"Aadhar, 8th std cert, Income proof (<=2.5L), DL/learner permit [web:22]"
